cpd_id	Pathway	Description
C00001	190	Oxidative phosphorylation
C00001	195	Photosynthesis
C00001	710	Carbon fixation in photosynthetic organisms
C00001	1100	Metabolic pathways
C00001	1120	Microbial metabolism in diverse environments
C00001	4918	Thyroid hormone synthesis
C00001	4924	Renin secretion
C00001	4962	Vasopressin-regulated water reabsorption
C00001	4964	Proximal tubule bicarbonate reclamation
C00001	4966	Collecting duct acid secretion
C00001	4970	Salivary secretion
C00001	4971	Gastric acid secretion
C00001	4972	Pancreatic secretion
C00001	4976	Bile secretion
C00001	5014	Amyotrophic lateral sclerosis
C00001	5022	Pathways of neurodegeneration - multiple diseases
C00001	5208	Chemical carcinogenesis - reactive oxygen species
C00001	5415	Diabetic cardiomyopathy
C00002	190	Oxidative phosphorylation
C00002	195	Photosynthesis
C00002	230	Purine metabolism
C00002	908	Zeatin biosynthesis
C00002	998	Biosynthesis of various antibiotics
C00002	1100	Metabolic pathways
C00002	1110	Biosynthesis of secondary metabolites
C00002	1232	Nucleotide metabolism
C00002	1240	Biosynthesis of cofactors
C00002	3070	Bacterial secretion system
C00002	4020	Calcium signaling pathway
C00002	4066	HIF-1 signaling pathway
C00002	4080	Neuroactive ligand-receptor interaction
C00002	4142	Lysosome
C00002	4217	Necroptosis
C00002	4611	Platelet activation
C00002	4621	NOD-like receptor signaling pathway
C00002	4714	Thermogenesis
C00002	4721	Synaptic vesicle cycle
C00002	4742	Taste transduction
C00002	4750	Inflammatory mediator regulation of TRP channels
C00002	4911	Insulin secretion
C00002	4917	Prolactin signaling pathway
C00002	4924	Renin secretion
C00002	4930	Type II diabetes mellitus
C00002	5012	Parkinson disease
C00002	5022	Pathways of neurodegeneration - multiple diseases
C00002	5133	Pertussis
C00002	5410	Hypertrophic cardiomyopathy
C00002	5415	Diabetic cardiomyopathy
C00003	190	Oxidative phosphorylation
C00003	730	Thiamine metabolism
C00003	760	Nicotinate and nicotinamide metabolism
C00003	983	Drug metabolism - other enzymes
C00003	1100	Metabolic pathways
C00003	1240	Biosynthesis of cofactors
C00003	4152	AMPK signaling pathway
C00003	4211	Longevity regulating pathway
C00003	4212	Longevity regulating pathway - worm
C00003	4925	Aldosterone synthesis and secretion
C00003	4936	Alcoholic liver disease
C00003	4977	Vitamin digestion and absorption
C00003	5208	Chemical carcinogenesis - reactive oxygen species
C00004	190	Oxidative phosphorylation
C00004	1100	Metabolic pathways
C00004	4020	Calcium signaling pathway
C00004	4714	Thermogenesis
C00004	4925	Aldosterone synthesis and secretion
C00005	195	Photosynthesis
C00005	480	Glutathione metabolism
C00005	1100	Metabolic pathways
C00005	4918	Thyroid hormone synthesis
C00005	4925	Aldosterone synthesis and secretion
C00005	4936	Alcoholic liver disease
C00005	5208	Chemical carcinogenesis - reactive oxygen species
C00005	5415	Diabetic cardiomyopathy
C00006	195	Photosynthesis
C00006	480	Glutathione metabolism
C00006	760	Nicotinate and nicotinamide metabolism
C00006	983	Drug metabolism - other enzymes
C00006	1100	Metabolic pathways
C00006	1240	Biosynthesis of cofactors
C00006	4918	Thyroid hormone synthesis
C00006	4925	Aldosterone synthesis and secretion
C00006	4936	Alcoholic liver disease
C00006	5208	Chemical carcinogenesis - reactive oxygen species
C00006	5415	Diabetic cardiomyopathy
C00007	190	Oxidative phosphorylation
C00007	195	Photosynthesis
C00007	630	Glyoxylate and dicarboxylate metabolism
C00007	1100	Metabolic pathways
C00007	1110	Biosynthesis of secondary metabolites
C00007	2020	Two-component system
C00007	2024	Quorum sensing
C00007	4066	HIF-1 signaling pathway
C00007	4918	Thyroid hormone synthesis
C00007	5012	Parkinson disease
C00007	5208	Chemical carcinogenesis - reactive oxygen species
C00007	5211	Renal cell carcinoma
C00008	190	Oxidative phosphorylation
C00008	195	Photosynthesis
C00008	230	Purine metabolism
C00008	908	Zeatin biosynthesis
C00008	1100	Metabolic pathways
C00008	1110	Biosynthesis of secondary metabolites
C00008	1232	Nucleotide metabolism
C00008	1240	Biosynthesis of cofactors
C00008	4068	FoxO signaling pathway
C00008	4080	Neuroactive ligand-receptor interaction
C00008	4142	Lysosome
C00008	4152	AMPK signaling pathway
C00008	4611	Platelet activation
C00008	4714	Thermogenesis
C00008	4742	Taste transduction
C00008	4924	Renin secretion
C00008	5012	Parkinson disease
C00008	5014	Amyotrophic lateral sclerosis
C00008	5022	Pathways of neurodegeneration - multiple diseases
C00009	190	Oxidative phosphorylation
C00009	195	Photosynthesis
C00009	2010	ABC transporters
C00009	2020	Two-component system
C00009	2024	Quorum sensing
C00009	4111	Cell cycle - yeast
C00009	4928	"Parathyroid hormone synthesis, secretion and action"
C00009	4978	Mineral absorption
C00009	5012	Parkinson disease
C00009	5022	Pathways of neurodegeneration - multiple diseases
C00010	71	Fatty acid degradation
C00010	332	Carbapenem biosynthesis
C00010	770	Pantothenate and CoA biosynthesis
C00010	1100	Metabolic pathways
C00010	1110	Biosynthesis of secondary metabolites
C00010	1240	Biosynthesis of cofactors
C00010	4216	Ferroptosis
C00010	4714	Thermogenesis
C00010	4725	Cholinergic synapse
C00010	4975	Fat digestion and absorption
C00010	4977	Vitamin digestion and absorption
C00011	220	Arginine biosynthesis
C00011	230	Purine metabolism
C00011	260	"Glycine, serine and threonine metabolism"
C00011	361	Chlorocyclohexane and chlorobenzene degradation
C00011	625	Chloroalkane and chloroalkene degradation
C00011	630	Glyoxylate and dicarboxylate metabolism
C00011	680	Methane metabolism
C00011	710	Carbon fixation in photosynthetic organisms
C00011	720	Carbon fixation pathways in prokaryotes
C00011	785	Lipoic acid metabolism
C00011	791	Atrazine degradation
C00011	910	Nitrogen metabolism
C00011	1100	Metabolic pathways
C00011	1120	Microbial metabolism in diverse environments
C00011	1200	Carbon metabolism
C00011	1230	Biosynthesis of amino acids
C00011	4964	Proximal tubule bicarbonate reclamation
C00011	4966	Collecting duct acid secretion
C00011	4970	Salivary secretion
C00011	4971	Gastric acid secretion
C00011	4972	Pancreatic secretion
C00011	4973	Carbohydrate digestion and absorption
C00011	4974	Protein digestion and absorption
C00011	4976	Bile secretion
C00012	330	Arginine and proline metabolism
C00012	1100	Metabolic pathways
C00012	5022	Pathways of neurodegeneration - multiple diseases
C00013	190	Oxidative phosphorylation
C00013	5012	Parkinson disease
C00013	5022	Pathways of neurodegeneration - multiple diseases
C00014	220	Arginine biosynthesis
C00014	230	Purine metabolism
C00014	250	"Alanine, aspartate and glutamate metabolism"
C00014	260	"Glycine, serine and threonine metabolism"
C00014	460	Cyanoamino acid metabolism
C00014	630	Glyoxylate and dicarboxylate metabolism
C00014	785	Lipoic acid metabolism
C00014	910	Nitrogen metabolism
C00014	1100	Metabolic pathways
C00014	1110	Biosynthesis of secondary metabolites
C00014	1120	Microbial metabolism in diverse environments
C00014	1200	Carbon metabolism
C00014	1230	Biosynthesis of amino acids
C00014	4964	Proximal tubule bicarbonate reclamation
C00014	4966	Collecting duct acid secretion
C00014	4974	Protein digestion and absorption
C00014	5110	Vibrio cholerae infection
C00014	5120	Epithelial cell signaling in Helicobacter pylori infection
C00015	240	Pyrimidine metabolism
C00015	908	Zeatin biosynthesis
C00015	1100	Metabolic pathways
C00015	1232	Nucleotide metabolism
C00015	1240	Biosynthesis of cofactors
C00015	4080	Neuroactive ligand-receptor interaction
C00016	740	Riboflavin metabolism
C00016	1100	Metabolic pathways
C00016	1110	Biosynthesis of secondary metabolites
C00016	1240	Biosynthesis of cofactors
C00016	4977	Vitamin digestion and absorption
C00017	450	Selenocompound metabolism
C00017	5022	Pathways of neurodegeneration - multiple diseases
C00018	730	Thiamine metabolism
C00018	750	Vitamin B6 metabolism
C00018	1100	Metabolic pathways
C00018	1240	Biosynthesis of cofactors
C00018	4977	Vitamin digestion and absorption
C00019	261	Monobactam biosynthesis
C00019	270	Cysteine and methionine metabolism
C00019	330	Arginine and proline metabolism
C00019	908	Zeatin biosynthesis
